method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I0",,,,2.882650852203369,,497604.0,2.443894147872925,0.4387567043304443
ILP,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I1",502429.0,502473.0,13.0,4.6083409786224365,0.0087566894141575,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I1",502461.453125,502473.0,17.0,6.452397108078003,0.0022980090472522,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I1",,,,2.9453492164611816,,495168.0,2.709468364715576,0.2358808517456054
ILP,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I2",500521.3134130144,500554.0,12.0,14.005305051803589,0.0065300820661901,,,
MILP,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I2",500508.8000000001,500554.0,13.0,4.010276079177856,0.0090299947657901,,,
Matheuristic,200,AD_1,"SWNN200DAD_1R0.0003P(25, 200)I2",,,,4.0235021114349365,,493265.0,3.836717128753662,0.1867849826812744
ILP,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I0",2948295.9999999986,2948522.0,2.0,22.676868200302124,0.0076648571725561,,,
MILP,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I0",2948296.0,2948319.0,3.0,33.293482065200806,0.0007801055448884,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I0",,,,45.598042011260986,,3018264.0,7.347749948501587,38.2502920627594
ILP,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I1",2944470.6,2944510.0,5.0,318.68893098831177,0.0013380834162528,,,
MILP,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I1",2944484.0,2944598.0,8.0,164.92406606674194,0.0038714962110277,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I1",,,,19.997483015060425,,3013377.0,8.750317096710205,11.24716591835022
ILP,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I2",2945827.8571428563,2945862.0,7.0,210.22606015205383,0.0011590107460449,,,
MILP,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I2",2945819.6428571427,2945949.0,3.0,3.555579900741577,0.0043910177283203,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R1e-05P(25, 200)I2",,,,55.652050256729126,,3014373.0,7.88089919090271,47.771151065826416
ILP,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I0",6003676.0,6003676.0,1.0,25.58317708969116,0.0,,,
MILP,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I0",6003676.0,6003676.0,1.0,10.000038862228394,0.0,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I0",,,,12.990841150283812,,6018391.0,11.280349969863892,1.710491180419922
ILP,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I1",5996899.5000000065,5996972.0,3.0,106.56476902961732,0.0012089434466841,,,
MILP,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I1",5996898.052631578,5997140.0,3.0,33.242974042892456,0.0040343791944425,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I1",,,,83.33298993110657,,6009450.0,11.49607801437378,71.83691191673279
ILP,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I2",6008948.363636363,6009524.0,2.0,111.6396300792694,0.0095787347489868,,,
MILP,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I2",6008948.363636363,6009173.0,5.0,32.84360694885254,0.0037382242720704,,,
Matheuristic,500,AD_2,"SWNN500DAD_2R2e-05P(25, 200)I2",,,,98.10448288917542,,6021408.0,12.06194281578064,86.04254007339478
