method,n,d,instance_id,LB,UB,Cuts,TotalTime,Gap%,Cost,FirstStageTime,SecondStageTime
ILP,100,0.2,"RNDN100D0.2R0.002P(75, 175)I1",398104.0,398104.0,6.0,4.785586833953857,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(75, 175)I1",398104.0,398104.0,29.0,3.6012051105499268,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(75, 175)I1",,,,2.196959972381592,,406106.0,2.151052951812744,0.0459070205688476
ILP,100,0.2,"RNDN100D0.2R0.002P(75, 175)I2",397280.0,397280.0,16.0,14.242475986480711,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(75, 175)I2",397256.75,397280.0,20.0,7.991391181945801,0.005852295610149,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(75, 175)I2",,,,6.229590177536011,,403216.0,6.147423028945923,0.0821671485900878
ILP,100,0.2,"RNDN100D0.2R0.002P(100, 200)I0",481203.0,481203.0,7.0,20.24579620361328,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(100, 200)I0",481191.5919732442,481203.0,32.0,11.59527587890625,0.0023707305972297,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(100, 200)I0",,,,7.688064575195312,,486782.0,7.639059782028198,0.0490047931671142
ILP,100,0.2,"RNDN100D0.2R0.002P(100, 200)I1",478372.0,478372.0,9.0,9.08971095085144,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(100, 200)I1",478372.0,478372.0,30.0,5.189562082290649,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(100, 200)I1",,,,4.9243762493133545,,486437.0,4.885972023010254,0.0384042263031005
ILP,100,0.2,"RNDN100D0.2R0.002P(100, 200)I2",479238.0,479238.0,9.0,6.698347806930542,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.002P(100, 200)I2",479238.0,479238.0,15.0,2.3230888843536377,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.002P(100, 200)I2",,,,3.9165518283843994,,487400.0,3.8732810020446777,0.0432708263397216
ILP,100,0.2,"RNDN100D0.2R0.003P(25, 125)I0",365002.0,365025.0,12.0,11.75539207458496,0.0063009382918978,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(25, 125)I0",365025.0,365025.0,22.0,7.075356960296631,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(25, 125)I0",,,,5.383356094360352,,364324.0,5.346182107925415,0.0371739864349365
ILP,100,0.2,"RNDN100D0.2R0.003P(25, 125)I1",364852.0,364880.0,11.0,9.658951997756958,0.0076737557553168,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(25, 125)I1",364880.0,364880.0,18.0,5.283823013305664,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(25, 125)I1",,,,6.184288263320923,,363575.0,6.1436991691589355,0.0405890941619873
ILP,100,0.2,"RNDN100D0.2R0.003P(25, 125)I2",363991.02739726054,364010.0,17.0,19.640717029571533,0.0052121103100092,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(25, 125)I2",364000.57772530505,364010.0,19.0,7.415331125259399,0.0025884658924075,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(25, 125)I2",,,,5.017606019973755,,361714.0,4.978720188140869,0.0388858318328857
ILP,100,0.2,"RNDN100D0.2R0.003P(50, 150)I0",485831.0080645161,485872.0,14.0,16.619730949401855,0.0084367766580248,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(50, 150)I0",485872.0,485872.0,26.0,5.751786947250366,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(50, 150)I0",,,,6.00797700881958,,482178.0,5.994249105453491,0.0137279033660888
ILP,100,0.2,"RNDN100D0.2R0.003P(50, 150)I1",490217.0,490217.0,19.0,21.717334985733032,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(50, 150)I1",490217.00000000006,490217.0,30.0,8.261979103088379,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(50, 150)I1",,,,7.173624038696289,,488323.0,7.1642091274261475,0.0094149112701416
ILP,100,0.2,"RNDN100D0.2R0.003P(50, 150)I2",488843.0,488866.0,30.0,83.66770505905151,0.0047047657231224,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(50, 150)I2",488866.0,488866.0,38.0,51.40670585632324,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(50, 150)I2",,,,20.74401593208313,,484449.0,20.73305916786194,0.0109567642211914
ILP,100,0.2,"RNDN100D0.2R0.003P(75, 175)I0",613140.0,613140.0,17.0,27.814846992492676,0.0,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(75, 175)I0",613140.0,613140.0,36.0,14.258264064788818,0.0,,,
Matheuristic,100,0.2,"RNDN100D0.2R0.003P(75, 175)I0",,,,10.648014068603516,,610295.0,10.641942024230955,0.0060720443725585
ILP,100,0.2,"RNDN100D0.2R0.003P(75, 175)I1",608422.0,608464.0,16.0,84.3745219707489,0.0069026269425964,,,
MILP,100,0.2,"RNDN100D0.2R0.003P(75, 175)I1",608464.0,608464.0,33.0,42.726853132247925,0.0,,,
